common_opponents_count,p2_current_streak_count,ranking_ratio,p2_form_win_percentage,p1_current_streak_count,p1_ranking_momentum_score,ranking_diff,p1_ranking,p1_surface_specialization_score,p2_form_recent_score,p2_ranking_momentum_score,p1_common_opponents_score,p2_surface_specialization_score,p1_pts,p1_strength_of_schedule_score,match_competitiveness,p2_pts,p1_elo,p1_form_win_percentage,p2_form_losses,p2_common_opponents_score,p2_elo,p1_form_recent_score,p2_regional_comfort_win_rate,p2_ranking,elo_diff,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
6,-1,0.8255813953488372,50.0,-3,1.04,-14.0,71.0,0.0,0.69,1.13,0.85,0.0,775.0,0.0,2,667.0,1760,50.0,10.0,0.39,1877,0.69,37.5,85.0,-117,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player2,False,False,False
4,-1,1.7473684210526317,55.0,3,1.14,72.0,166.0,0.0,0.71,1.13,0.0,0.0,345.0,0.0,1,625.0,1703,65.0,9.0,0.66,1840,0.78,50.0,94.0,-137,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,victorias,Regular,derrotas,player2,False,False,False
8,-3,0.14864864864864866,45.0,5,1.08,-62.0,11.0,0.0,0.68,1.04,0.92,0.0,2960.0,0.0,1,763.0,2064,75.0,11.0,0.0,1804,0.86,40.0,73.0,260,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Excelente,victorias,Regular,derrotas,player1,False,False,False
2,-1,2.046875,45.0,3,1.15,68.0,131.0,0.0,0.68,1.13,0.32,0.0,454.0,0.0,1,848.0,1806,60.0,11.0,0.49,1850,0.77,42.9,63.0,-44,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,victorias,Regular,derrotas,player2,False,False,False
4,1,0.7008547008547008,50.0,-1,1.03,-34.0,82.0,0.0,0.71,1.02,0.6,0.0,700.0,0.0,2,498.0,1759,60.0,10.0,0.0,1812,0.72,50.0,116.0,-53,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,derrotas,Regular,victorias,player2,False,False,False
9,-2,0.3898305084745763,40.0,-1,1.15,-35.0,23.0,0.0,0.66,1.04,0.84,0.0,1625.0,0.0,2,889.0,1976,60.0,12.0,0.47,1726,0.72,0.0,58.0,250,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,derrotas,Regular,derrotas,player1,False,False,False
9,-1,0.5,55.0,1,1.05,-32.0,33.0,0.0,0.71,1.13,0.79,0.0,1335.0,0.0,2,845.0,2003,75.0,9.0,0.82,1882,0.77,63.6,65.0,121,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Excelente,victorias,Regular,derrotas,player1,False,False,False
3,-1,1.096774193548387,55.0,-1,1.03,10.0,102.0,0.0,0.71,1.13,0.0,0.0,596.0,0.0,3,631.0,1701,55.0,9.0,0.68,1885,0.71,42.9,92.0,-184,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player1,False,False,False
10,-2,0.6,40.0,-3,1.05,-27.0,42.0,0.0,0.66,1.04,0.96,0.0,1123.0,0.0,2,790.0,1832,45.0,12.0,0.65,1848,0.68,62.5,69.0,-16,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player2,False,False,False
6,-2,0.6704545454545454,45.0,-1,1.04,-28.0,59.0,0.0,0.68,1.03,0.77,0.0,878.0,0.0,2,665.0,1899,55.0,11.0,0.42,1787,0.71,50.0,87.0,112,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player1,False,False,False
1,5,1.5555555555555556,85.0,17,0.52,6.0,14.0,0.85,1.56,0.52,0.0,0.82,2507.0,0.1,3,3881.0,1716,90.0,3.0,0.3,1704,1.56,66.7,8.0,12,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
1,5,1.5555555555555556,85.0,17,0.52,6.0,14.0,0.85,1.56,0.52,0.0,0.82,2507.0,0.1,3,3881.0,1716,90.0,3.0,0.3,1704,1.56,66.7,8.0,12,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
1,5,1.5555555555555556,85.0,17,0.52,6.0,14.0,0.85,1.56,0.52,0.0,0.82,2507.0,0.1,3,3881.0,1716,90.0,3.0,0.3,1704,1.56,66.7,8.0,12,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
1,5,1.5555555555555556,85.0,17,0.52,6.0,14.0,0.85,1.56,0.52,0.0,0.82,2507.0,0.1,3,3881.0,1716,90.0,3.0,0.3,1704,1.56,66.7,8.0,12,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
1,5,1.5555555555555556,85.0,17,0.52,6.0,14.0,0.85,1.56,0.52,0.0,0.82,2507.0,0.1,3,3881.0,1716,90.0,3.0,0.3,1704,1.56,66.7,8.0,12,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
1,5,1.5555555555555556,85.0,17,0.52,6.0,14.0,0.85,1.56,0.52,0.0,0.82,2507.0,0.1,3,3881.0,1716,90.0,3.0,0.3,1704,1.56,66.7,8.0,12,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
1,8,0.23333333333333334,80.0,5,0.52,-68.0,21.0,0.77,1.56,0.51,0.0,0.78,1856.0,0.1,1,840.0,1584,60.0,4.0,0.3,1673,1.55,60.0,89.0,-89,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
1,8,0.23333333333333334,80.0,5,0.52,-68.0,21.0,0.77,1.56,0.51,0.0,0.78,1856.0,0.1,1,840.0,1584,60.0,4.0,0.3,1673,1.55,60.0,89.0,-89,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
1,8,0.23333333333333334,80.0,5,0.52,-68.0,21.0,0.77,1.56,0.51,0.0,0.78,1856.0,0.1,1,840.0,1584,60.0,4.0,0.3,1673,1.55,60.0,89.0,-89,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
1,8,0.23333333333333334,80.0,5,0.52,-68.0,21.0,0.77,1.56,0.51,0.0,0.78,1856.0,0.1,1,840.0,1584,60.0,4.0,0.3,1673,1.55,60.0,89.0,-89,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
1,8,0.23333333333333334,80.0,5,0.52,-68.0,21.0,0.77,1.56,0.51,0.0,0.78,1856.0,0.1,1,840.0,1584,60.0,4.0,0.3,1673,1.55,60.0,89.0,-89,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
1,8,0.23333333333333334,80.0,5,0.52,-68.0,21.0,0.77,1.56,0.51,0.0,0.78,1856.0,0.1,1,840.0,1584,60.0,4.0,0.3,1673,1.55,60.0,89.0,-89,Clay,Buena,victorias,Excelente,victorias,player2,True,False,False
