p1_common_opponents_score,p1_strength_of_schedule_score,match_competitiveness,p2_ranking_momentum_score,p2_ranking,p1_surface_specialization_score,p2_surface_specialization_score,ranking_diff,p2_current_streak_count,common_opponents_count,p1_ranking,p2_regional_comfort_win_rate,p2_form_recent_score,p2_pts,ranking_ratio,elo_diff,p2_form_win_percentage,p2_elo,p1_pts,p2_common_opponents_score,p2_form_losses,p1_ranking_momentum_score,p1_current_streak_count,p1_elo,p1_form_win_percentage,p1_form_recent_score,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
0.85,0.0,2,1.13,85.0,0.0,0.0,-14.0,-1,6,71.0,37.5,0.69,667.0,0.8255813953488372,-117,50.0,1877,775.0,0.39,10.0,1.04,-3,1760,50.0,0.69,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player2,False,False,False
0.0,0.0,1,1.13,94.0,0.0,0.0,72.0,-1,4,166.0,50.0,0.71,625.0,1.7473684210526317,-137,55.0,1840,345.0,0.66,9.0,1.14,3,1703,65.0,0.78,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,victorias,Regular,derrotas,player2,False,False,False
0.92,0.0,1,1.04,73.0,0.0,0.0,-62.0,-3,8,11.0,40.0,0.68,763.0,0.14864864864864866,260,45.0,1804,2960.0,0.0,11.0,1.08,5,2064,75.0,0.86,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Excelente,victorias,Regular,derrotas,player1,False,False,False
0.32,0.0,1,1.13,63.0,0.0,0.0,68.0,-1,2,131.0,42.9,0.68,848.0,2.046875,-44,45.0,1850,454.0,0.49,11.0,1.15,3,1806,60.0,0.77,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,victorias,Regular,derrotas,player2,False,False,False
0.6,0.0,2,1.02,116.0,0.0,0.0,-34.0,1,4,82.0,50.0,0.71,498.0,0.7008547008547008,-53,50.0,1812,700.0,0.0,10.0,1.03,-1,1759,60.0,0.72,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,derrotas,Regular,victorias,player2,False,False,False
0.84,0.0,2,1.04,58.0,0.0,0.0,-35.0,-2,9,23.0,0.0,0.66,889.0,0.3898305084745763,250,40.0,1726,1625.0,0.47,12.0,1.15,-1,1976,60.0,0.72,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,derrotas,Regular,derrotas,player1,False,False,False
0.79,0.0,2,1.13,65.0,0.0,0.0,-32.0,-1,9,33.0,63.6,0.71,845.0,0.5,121,55.0,1882,1335.0,0.82,9.0,1.05,1,2003,75.0,0.77,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Excelente,victorias,Regular,derrotas,player1,False,False,False
0.0,0.0,3,1.13,92.0,0.0,0.0,10.0,-1,3,102.0,42.9,0.71,631.0,1.096774193548387,-184,55.0,1885,596.0,0.68,9.0,1.03,-1,1701,55.0,0.71,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player1,False,False,False
0.96,0.0,2,1.04,69.0,0.0,0.0,-27.0,-2,10,42.0,62.5,0.66,790.0,0.6,-16,40.0,1848,1123.0,0.65,12.0,1.05,-3,1832,45.0,0.68,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player2,False,False,False
0.77,0.0,2,1.03,87.0,0.0,0.0,-28.0,-2,6,59.0,50.0,0.68,665.0,0.6704545454545454,112,45.0,1787,878.0,0.42,11.0,1.04,-1,1899,55.0,0.71,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player1,False,False,False
0.0,0.1,3,0.52,8.0,0.85,0.82,6.0,5,1,14.0,66.7,1.56,3881.0,1.5555555555555556,12,85.0,1704,2507.0,0.3,3.0,0.52,17,1716,90.0,1.56,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,3,0.52,8.0,0.85,0.82,6.0,5,1,14.0,66.7,1.56,3881.0,1.5555555555555556,12,85.0,1704,2507.0,0.3,3.0,0.52,17,1716,90.0,1.56,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,3,0.52,8.0,0.85,0.82,6.0,5,1,14.0,66.7,1.56,3881.0,1.5555555555555556,12,85.0,1704,2507.0,0.3,3.0,0.52,17,1716,90.0,1.56,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,3,0.52,8.0,0.85,0.82,6.0,5,1,14.0,66.7,1.56,3881.0,1.5555555555555556,12,85.0,1704,2507.0,0.3,3.0,0.52,17,1716,90.0,1.56,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
0.0,0.1,3,0.52,8.0,0.85,0.82,6.0,5,1,14.0,66.7,1.56,3881.0,1.5555555555555556,12,85.0,1704,2507.0,0.3,3.0,0.52,17,1716,90.0,1.56,Clay,Excelente,victorias,Excelente,victorias,player2,True,False,False
