match_url,jugador1,jugador2,torneo_nombre,tipo_cancha,cuota1,cuota2,p1_ranking,p2_ranking,p1_rivalry_score,p2_rivalry_score,common_opponents_count,prediction_confidence,p1_predicted_score,p2_predicted_score,predicted_score_diff,p1_surface_specialization_score,p2_surface_specialization_score,p1_form_recent_score,p2_form_recent_score,p1_common_opponents_score,p2_common_opponents_score,p1_h2h_direct_score,p2_h2h_direct_score,p1_ranking_momentum_score,p2_ranking_momentum_score,p1_home_advantage_score,p2_home_advantage_score,p1_strength_of_schedule_score,p2_strength_of_schedule_score,p1_form_win_percentage,p1_form_wins,p1_form_losses,p1_form_status,p1_last_match_date,p1_current_streak_count,p1_current_streak_type,p2_form_win_percentage,p2_form_wins,p2_form_losses,p2_form_status,p2_last_match_date,p2_current_streak_count,p2_current_streak_type,p1_Hard_win_rate,p1_Hard_wins,p1_Hard_losses,p1_Hard_matches,p2_Hard_win_rate,p2_Hard_wins,p2_Hard_losses,p2_Hard_matches,p1_home_wins,p1_home_losses,p2_home_wins,p2_home_losses,p1_home_win_rate,p2_home_win_rate,p1_regional_comfort_win_rate,p2_regional_comfort_win_rate,p1_elo,p2_elo,p1_pts,p1_prox_pts,p1_pts_max,p1_defense_points,p2_pts,p2_prox_pts,p2_pts_max,p2_defense_points,h2h_total_matches,h2h_jugador1_wins,h2h_jugador2_wins,h2h_win_rate_jugador1,h2h_win_diff,p1_Clay_win_rate,p1_Clay_wins,p1_Clay_losses,p1_Clay_matches,p2_Clay_win_rate,p2_Clay_wins,p2_Clay_losses,p2_Clay_matches,p1_Grass_win_rate,p1_Grass_wins,p1_Grass_losses,p1_Grass_matches,p2_Grass_win_rate,p2_Grass_wins,p2_Grass_losses,p2_Grass_matches,actual_winner,ranking_diff,ranking_ratio,is_upset_potential,elo_diff,elo_advantage,elo_competitive,surface_Clay,surface_Grass,surface_Hard,match_competitiveness
https://www.flashscore.co/match/tennis/yoruk-ilay-mi-lan/vVAovzL6/#/h2h,Ilay Yoruk,Lan Mi,W15 Kayseri 4 (Turquía),Hard,3.15,1.3,191.0,52.0,0.0,1.2999999999999998,1,52.4,2.54,2.81,-0.26,0.37,0.46,1.4,1.58,0.0,0.05,0.0,0.0,0.92,0.93,0.0,0.0,0.26,0.23,40.0,8.0,12.0,Regular,13.06.2026,4,victorias,80.0,16.0,4.0,Excelente,13.06.2026,4,victorias,,,,,,,,,,,,,,,,,1605,1831,133.0,133.0,133.0,0.0,176.0,176.0,176.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player1,139.0,3.6037735849056602,1,-226,0,0,False,False,True,0
https://www.flashscore.co/match/tennis/marrero-curbelo-ivan-mckennon-maxwell/6HCwtdjf/#/h2h,Ivan Marrero Curbelo,Maxwell Mckennon,M15 Kayseri 4 (Turquía),Hard,1.91,1.8,176.0,200.0,5.0345,0.9999999999999998,4,51.0,2.6,2.71,-0.11,0.45,0.46,1.51,1.48,0.1,0.05,0.0,0.0,0.92,0.92,0.0,0.0,0.0,0.22,75.0,15.0,5.0,Excelente,13.06.2026,4,victorias,65.0,13.0,7.0,Buena,13.06.2026,4,victorias,,,,,,,,,,,,,,,,,1748,1740,135.0,135.0,135.0,0.0,132.0,132.0,132.0,0.0,2,0,0,0.0,0,,,,,,,,,,,,,,,,,player1,-24.0,0.8756218905472637,0,8,1,1,False,False,True,2
https://www.flashscore.co/match/tennis/mcdonald-niels-kopp-sandro/zFVDPz6D/#/h2h,Niels McDonald,Sandro Kopp,M25 Varnamo (Suecia),Clay,2.08,1.66,81.0,25.0,0.9999999999999998,16.5,4,51.3,2.51,2.64,-0.13,0.44,0.44,1.58,1.42,0.09,0.42,0.0,0.0,0.56,0.56,0.0,0.0,0.19,0.2,60.0,12.0,8.0,Buena,13.06.2026,9,victorias,55.0,11.0,9.0,Regular,13.06.2026,4,victorias,,,,,,,,,,,,,,,,,1717,1691,159.0,159.0,159.0,0.0,215.0,215.0,215.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player1,56.0,3.1153846153846154,1,26,1,1,True,False,False,1
https://www.flashscore.co/match/tennis/zaytseva-ksenia-mettraux-marie/l4vU9AGk/#/h2h,Ksenia Zaytseva,Marie Mettraux,W15 Kursumlijska Banja 4 (Serbia),Clay,1.41,2.65,8.0,182.0,2.5,0.0,1,51.1,2.52,2.64,-0.12,0.42,0.56,1.49,1.62,0.16,0.0,0.0,0.0,0.57,0.55,0.0,0.0,0.23,0.27,65.0,13.0,7.0,Buena,13.06.2026,4,victorias,80.0,16.0,4.0,Excelente,13.06.2026,14,victorias,,,,,,,,,,,,,,,,,1699,1890,319.0,319.0,319.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player1,-174.0,0.04371584699453552,0,-191,0,0,True,False,False,0
https://www.flashscore.co/match/tennis/compagnucci-tommaso-baragiola-mordini-tobia-costanzo/rP2O1Wjm/#/h2h,Tommaso Compagnucci,Tobia Costanzo Baragiola Mordini,Parma (Italia) - Fase previa,Clay,1.07,7.5,98.0,98.0,6.0099,0.0,2,58.2,2.65,1.9,0.74,0.56,0.24,1.41,1.18,0.23,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.13,0.0,65.0,13.0,7.0,Buena,28.05.2026,-1,derrotas,40.0,8.0,12.0,Regular,08.06.2026,-3,derrotas,,,,,,,,,,,,,,,,,1739,1449,152.0,152.0,152.0,0.0,152.0,152.0,152.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player1,0.0,0.98989898989899,0,290,1,0,True,False,False,3
https://www.flashscore.co/match/tennis/cerny-matyas-weis-alexander/E3y51Nd4/#/h2h,Matyas Cerny,Alexander Weis,Parma (Italia) - Fase previa,Clay,1.92,1.82,62.0,98.0,5.0443,0.0,1,50.7,2.41,2.35,0.06,0.55,0.51,1.3,1.32,0.2,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.09,55.0,11.0,9.0,Regular,11.06.2026,-1,derrotas,60.0,12.0,8.0,Buena,06.06.2026,-1,derrotas,,,,,,,,,,,,,,,,,1602,1686,169.0,169.0,169.0,0.0,152.0,152.0,152.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player2,-36.0,0.6262626262626263,0,-84,0,1,True,False,False,2
https://www.flashscore.co/match/tennis/milev-yanaki-tobon-miguel-jr/O24vbljC/#/h2h,Yanaki Milev,Miguel Tobon,Parma (Italia) - Fase previa,Clay,2.75,1.41,41.0,53.0,8.2931,0.0,3,50.2,2.41,2.39,0.02,0.45,0.49,1.2,1.33,0.27,0.0,0.0,0.0,0.61,0.6,0.0,0.0,0.15,0.17,40.0,8.0,12.0,Regular,06.06.2026,-1,derrotas,65.0,13.0,7.0,Buena,09.06.2026,-1,derrotas,,,,,,,,,,,,,,,,,1541,1650,187.0,187.0,187.0,0.0,175.0,175.0,175.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player2,-12.0,0.7592592592592593,0,-109,0,0,True,False,False,2
https://www.flashscore.co/match/tennis/topo-marko-seggerman-ryan/tjwc3qSi/#/h2h,Marko Topo,Ryan Seggerman,Parma (Italia) - Fase previa,Clay,1.48,2.55,81.0,200.0,0.0,0.9999999999999998,1,50.9,2.33,2.41,-0.08,0.49,0.47,1.2,1.33,0.0,0.08,0.0,0.0,0.6,0.6,0.0,0.0,0.25,0.18,40.0,8.0,12.0,Regular,08.06.2026,-2,derrotas,55.0,11.0,9.0,Regular,31.05.2026,-2,derrotas,,,,,,,,,,,,,,,,,1573,1581,159.0,159.0,159.0,0.0,132.0,132.0,132.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player2,-119.0,0.40298507462686567,0,-8,0,1,True,False,False,0
https://www.flashscore.co/match/tennis/mecarelli-michele-paul-jakub/YVQboB66/#/h2h,Michele Mecarelli,Jakub Paul,Parma (Italia) - Fase previa,Clay,4.25,1.2,98.0,182.0,6.5475,5.0,2,51.5,2.39,2.53,-0.15,0.43,0.51,1.27,1.26,0.24,0.22,0.0,0.0,0.6,0.6,0.0,0.0,0.09,0.24,55.0,11.0,9.0,Regular,07.06.2026,-3,derrotas,45.0,9.0,11.0,Regular,12.05.2026,-1,derrotas,,,,,,,,,,,,,,,,,1565,1604,152.0,152.0,152.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player2,-84.0,0.5355191256830601,0,-39,0,1,True,False,False,1
https://www.flashscore.co/match/tennis/vincent-ruggeri-samuel-sanchez-quilez-alejo/Q5NjmXyf/#/h2h,Samuel Vincent Ruggeri,Alejo Sanchez Quilez,Parma (Italia) - Fase previa,Clay,3.5,1.28,98.0,176.0,5.0441,10.0,3,53.5,2.26,2.61,-0.35,0.39,0.53,1.23,1.31,0.22,0.29,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.17,45.0,9.0,11.0,Regular,11.06.2026,-1,derrotas,60.0,12.0,8.0,Buena,09.06.2026,-1,derrotas,,,,,,,,,,,,,,,,,1596,1700,152.0,152.0,152.0,0.0,135.0,135.0,135.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player2,-78.0,0.5536723163841808,0,-104,0,0,True,False,False,1
