p1_rivalry_score,p2_common_opponents_score,p1_elo,p1_form_win_percentage,ranking_diff,match_competitiveness,p2_elo,p1_ranking,p1_surface_specialization_score,p2_form_wins,p2_form_losses,p2_surface_specialization_score,p2_form_win_percentage,ranking_ratio,p2_pts,p1_form_recent_score,p2_ranking,common_opponents_count,p1_pts,elo_diff,p2_form_recent_score,p2_strength_of_schedule_score,p1_form_wins,p1_strength_of_schedule_score,p1_current_streak_count,p1_form_losses,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
0.0,0.05,1605,40.0,139.0,0,1831,191.0,0.37,16.0,4.0,0.46,80.0,3.6037735849056602,176.0,1.4,52.0,1,133.0,-226,1.58,0.23,8.0,0.26,4,12.0,Hard,Regular,victorias,Excelente,victorias,player1,False,False,True
5.0345,0.05,1748,75.0,-24.0,2,1740,176.0,0.45,13.0,7.0,0.46,65.0,0.8756218905472637,132.0,1.51,200.0,4,135.0,8,1.48,0.22,15.0,0.0,4,5.0,Hard,Excelente,victorias,Buena,victorias,player1,False,False,True
0.9999999999999998,0.42,1717,60.0,56.0,1,1691,81.0,0.44,11.0,9.0,0.44,55.0,3.1153846153846154,215.0,1.58,25.0,4,159.0,26,1.42,0.2,12.0,0.19,9,8.0,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
2.5,0.0,1699,65.0,-174.0,0,1890,8.0,0.42,16.0,4.0,0.56,80.0,0.04371584699453552,134.0,1.49,182.0,1,319.0,-191,1.62,0.27,13.0,0.23,4,7.0,Clay,Buena,victorias,Excelente,victorias,player1,True,False,False
6.0099,0.0,1739,65.0,0.0,3,1449,98.0,0.56,8.0,12.0,0.24,40.0,0.98989898989899,152.0,1.41,98.0,2,152.0,290,1.18,0.0,13.0,0.13,-1,7.0,Clay,Buena,derrotas,Regular,derrotas,player1,True,False,False
5.0443,0.0,1602,55.0,-36.0,2,1686,62.0,0.55,12.0,8.0,0.51,60.0,0.6262626262626263,152.0,1.3,98.0,1,169.0,-84,1.32,0.09,11.0,0.0,-1,9.0,Clay,Regular,derrotas,Buena,derrotas,player2,True,False,False
8.2931,0.0,1541,40.0,-12.0,2,1650,41.0,0.45,13.0,7.0,0.49,65.0,0.7592592592592593,175.0,1.2,53.0,3,187.0,-109,1.33,0.17,8.0,0.15,-1,12.0,Clay,Regular,derrotas,Buena,derrotas,player2,True,False,False
0.0,0.08,1573,40.0,-119.0,0,1581,81.0,0.49,11.0,9.0,0.47,55.0,0.40298507462686567,132.0,1.2,200.0,1,159.0,-8,1.33,0.18,8.0,0.25,-2,12.0,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
6.5475,0.22,1565,55.0,-84.0,1,1604,98.0,0.43,9.0,11.0,0.51,45.0,0.5355191256830601,134.0,1.27,182.0,2,152.0,-39,1.26,0.24,11.0,0.09,-3,9.0,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
5.0441,0.29,1596,45.0,-78.0,1,1700,98.0,0.39,12.0,8.0,0.53,60.0,0.5536723163841808,135.0,1.23,176.0,3,152.0,-104,1.31,0.17,9.0,0.0,-1,11.0,Clay,Regular,derrotas,Buena,derrotas,player2,True,False,False
0.0,0.0,1841,80.0,-192.0,0,1732,8.0,0.48,13.0,7.0,0.4,65.0,0.03980099502487562,132.0,1.59,200.0,0,319.0,109,1.55,0.23,16.0,0.26,4,4.0,Hard,Excelente,victorias,Buena,victorias,player1,False,False,True
30.0433,0.26,1754,65.0,-97.0,1,1686,98.0,0.64,12.0,8.0,0.67,60.0,0.5,133.0,1.35,195.0,5,152.0,68,1.25,0.27,13.0,0.27,-1,7.0,Clay,Buena,derrotas,Buena,derrotas,player1,True,False,False
5.0259,0.39,1596,45.0,0.0,3,1567,98.0,0.5,10.0,10.0,0.54,50.0,0.98989898989899,152.0,1.22,98.0,4,152.0,29,1.24,0.27,9.0,0.26,-1,11.0,Clay,Regular,derrotas,Regular,derrotas,player1,True,False,False
0.0,0.1,1612,50.0,123.0,0,1694,200.0,0.41,11.0,9.0,0.46,55.0,2.5641025641025643,161.0,1.42,77.0,2,132.0,-82,1.44,0.12,10.0,0.19,4,10.0,Hard,Regular,victorias,Regular,victorias,player2,False,False,True
17.7285,0.08,1722,45.0,102.0,0,1757,154.0,0.54,8.0,12.0,0.39,40.0,2.9056603773584904,176.0,1.4,52.0,11,139.0,-35,1.37,0.27,9.0,0.27,1,11.0,Grass,Regular,victorias,Regular,victorias,player2,False,True,False
4.5,0.0,1855,80.0,74.0,1,1704,202.0,0.0,9.0,11.0,0.0,45.0,1.565891472868217,144.0,1.88,128.0,3,132.0,151,1.44,0.27,16.0,0.27,5,4.0,Grass,Excelente,victorias,Regular,derrotas,player2,False,True,False
5.046,0.31,1728,65.0,-49.0,2,1778,32.0,0.57,13.0,7.0,0.57,65.0,0.3902439024390244,159.0,1.47,81.0,2,200.0,-50,1.52,0.27,13.0,0.27,4,7.0,Clay,Buena,victorias,Buena,victorias,player2,True,False,False
0.0,0.53,1725,60.0,-131.0,0,1772,8.0,0.45,14.0,6.0,0.46,70.0,0.05714285714285714,142.0,1.48,139.0,1,319.0,-47,1.51,0.25,12.0,0.23,4,8.0,Clay,Buena,victorias,Buena,victorias,player1,True,False,False
0.0,0.0,1798,70.0,-192.0,0,1719,8.0,0.5,13.0,7.0,0.41,65.0,0.03980099502487562,132.0,1.51,200.0,0,319.0,79,1.5,0.23,14.0,0.26,4,6.0,Hard,Buena,victorias,Buena,victorias,player2,False,False,True
10.0249,0.0,1781,60.0,-21.0,2,1683,77.0,0.45,12.0,8.0,0.38,60.0,0.7777777777777778,152.0,1.56,98.0,3,161.0,98,1.42,0.21,12.0,0.17,9,8.0,Clay,Buena,victorias,Buena,victorias,player1,True,False,False
0.0,0.0,1621,40.0,135.0,0,1635,176.0,0.59,4.0,1.0,0.67,80.0,4.190476190476191,187.0,1.44,41.0,0,135.0,-14,1.52,0.24,8.0,0.27,4,12.0,Clay,Regular,victorias,Excelente,victorias,player1,True,False,False
1.2999999999999998,0.0,1753,70.0,-10.0,3,1737,81.0,0.44,14.0,6.0,0.47,70.0,0.8804347826086957,155.0,1.62,91.0,1,159.0,16,1.51,0.0,14.0,0.0,9,6.0,Clay,Buena,victorias,Buena,victorias,player1,True,False,False
