p2_ranking,p1_current_streak_count,p1_form_recent_score,p1_pts,p1_elo,p1_ranking_momentum_score,p2_elo,p2_ranking_momentum_score,p2_pts,p1_strength_of_schedule_score,p2_current_streak_count,match_competitiveness,p2_common_opponents_score,p2_surface_specialization_score,p2_form_losses,p1_surface_specialization_score,ranking_diff,p1_common_opponents_score,p1_form_win_percentage,ranking_ratio,p1_ranking,elo_diff,common_opponents_count,p2_form_recent_score,p2_form_win_percentage,p2_regional_comfort_win_rate,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
85.0,-3,0.69,775.0,1760,1.04,1877,1.13,667.0,0.0,-1,2,0.39,0.0,10.0,0.0,-14.0,0.85,50.0,0.8255813953488372,71.0,-117,6,0.69,50.0,37.5,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player2,False,False,False
94.0,3,0.78,345.0,1703,1.14,1840,1.13,625.0,0.0,-1,1,0.66,0.0,9.0,0.0,72.0,0.0,65.0,1.7473684210526317,166.0,-137,4,0.71,55.0,50.0,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,victorias,Regular,derrotas,player2,False,False,False
73.0,5,0.86,2960.0,2064,1.08,1804,1.04,763.0,0.0,-3,1,0.0,0.0,11.0,0.0,-62.0,0.92,75.0,0.14864864864864866,11.0,260,8,0.68,45.0,40.0,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Excelente,victorias,Regular,derrotas,player1,False,False,False
63.0,3,0.77,454.0,1806,1.15,1850,1.13,848.0,0.0,-1,1,0.49,0.0,11.0,0.0,68.0,0.32,60.0,2.046875,131.0,-44,2,0.68,45.0,42.9,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,victorias,Regular,derrotas,player2,False,False,False
116.0,-1,0.72,700.0,1759,1.03,1812,1.02,498.0,0.0,1,2,0.0,0.0,10.0,0.0,-34.0,0.6,60.0,0.7008547008547008,82.0,-53,4,0.71,50.0,50.0,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,derrotas,Regular,victorias,player2,False,False,False
58.0,-1,0.72,1625.0,1976,1.15,1726,1.04,889.0,0.0,-2,2,0.47,0.0,12.0,0.0,-35.0,0.84,60.0,0.3898305084745763,23.0,250,9,0.66,40.0,0.0,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Buena,derrotas,Regular,derrotas,player1,False,False,False
65.0,1,0.77,1335.0,2003,1.05,1882,1.13,845.0,0.0,-1,2,0.82,0.0,9.0,0.0,-32.0,0.79,75.0,0.5,33.0,121,9,0.71,55.0,63.6,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Excelente,victorias,Regular,derrotas,player1,False,False,False
92.0,-1,0.71,596.0,1701,1.03,1885,1.13,631.0,0.0,-1,3,0.68,0.0,9.0,0.0,10.0,0.0,55.0,1.096774193548387,102.0,-184,3,0.71,55.0,42.9,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player1,False,False,False
69.0,-3,0.68,1123.0,1832,1.05,1848,1.04,790.0,0.0,-2,2,0.65,0.0,12.0,0.0,-27.0,0.96,45.0,0.6,42.0,-16,10,0.66,40.0,62.5,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player2,False,False,False
87.0,-1,0.71,878.0,1899,1.04,1787,1.03,665.0,0.0,-2,2,0.42,0.0,11.0,0.0,-28.0,0.77,55.0,0.6704545454545454,59.0,112,6,0.68,45.0,50.0,Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,Regular,derrotas,Regular,derrotas,player1,False,False,False
